,headline_descriptions,news_source
0,Futures & Commodities,cnbc
1,The News with Shepard Smith,cnbc
2,Futures & Commodities,cnbc
3,The News with Shepard Smith,cnbc
4,"S&P 500 closes at another record Friday, gains 2% on week",cnbc
5,Iran scientist killed,cnbc
6,LA Covid Restrictions,cnbc
7,Trump loses PA appeal,cnbc
8,Black Friday shopping in stores craters 52% during pandemic as e-commerce sales surge,cnbc
9,Black Friday 2020 online shopping surges 22% to record $9 billion,cnbc
10,Salesforce buying Slack would mark the first big software deal in a boom year for the cloud,cnbc
11,Congress stalled on stimulus talks and time is running out as millions face a 'benefits cliff',cnbc
12,Black Friday shopping in stores craters 52% during pandemic as e-commerce sales surge,cnbc
13,Vaccines may help travel rebound but some pandemic changes are here to stay,cnbc
14,"Black Friday 2020 online shopping surges 22% to record $9 billion, Adobe says",cnbc
15,Congress stalled on stimulus talks as millions of Americans face 'benefits cliff',cnbc
16,This is the psychological difference between spenders and savers,cnbc
17,Advice for small business owners from this successful 17-year-old CEO,cnbc
18,"Meet Ivan Boesky: '80s Wall Street titan who inspired Hollywood, went to jail",cnbc
19,Salesforce buying Slack would be first big software deal in boom year for cloud,cnbc
20,Buy stocks like Micron and Ulta as the recovery gets underway analysts say,cnbc
21,Shoppers want their holiday gifts to matter. Companies are taking notice.,cnbc
22,"Black Friday online shopping on track to hit record as shoppers skip stores, Adobe says",cnbc
23,"Oxford, WHO scientists say more data needed on AstraZeneca's Covid vaccine trials",cnbc
24,A Black Friday unlike any other: What four retail analysts are watching,cnbc
25,"Trump will campaign for Georgia GOP Senate candidates, urges supporters not to boycott runoff elections",cnbc
26,What to watch in the market in the week ahead,cnbc
27,Trump loses appeal of Pennsylvania election case,cnbc
28,Amazon's hiring spree will get its real test starting Black Friday,cnbc
29,"As large retailers make record profits, frontline workers barely see a pay bump",cnbc
30,Pilot shortage prompts rare flight cancellations at Delta over Thanksgiving break,cnbc
31,"Long lines for Covid testing not going away soon, Summit CityMD CEO says",cnbc
32,Watch live: World Health Organization holds a briefing on Covid as Europe's outbreak appears to slow,cnbc
33,Top Iranian nuclear scientist assassinated,cnbc
34,Evictions have led to hundreds of thousands of additional Covid-19 cases,cnbc
35,Black Friday may have undergone a 'fundamental change' due to the pandemic,cnbc
36,These are Wall Street's favorite 10 retail stocks into the holiday season,cnbc
37,Google's 'resiliency' training teaches employees how to perform through stress,cnbc
38,"Stocks making the biggest moves midday: Amazon, Tesla, AstraZeneca & more",cnbc
39,Meet the 31-year-old nurse who is now a member of the New York State Assembly,cnbc
40,"Black Friday looks bleak at stores, malls, as shoppers stick to couch surfing",cnbc
41,"Thanksgiving Day online sales hit record $5.1 billion, Adobe says",cnbc
42,Former Zappos CEO Tony Hsieh has died at 46,cnbc
43,Stocks on track to close out month of big gains next week as jobs data looms,cnbc
44,Los Angeles issues stay-home order as coronavirus cases surge out of control,cnbc
45,Trump loses appeal of Pennsylvania election case,cnbc
46,Wall Street analysts are long-term bullish on these recovery plays like Micron and Ulta,cnbc
47,Biden's lead increases in Wisconsin's largest county after recount demanded by Trump campaign,cnbc
48,Supreme Court takes up Trump order to remove undocumented immigrants from population count,cnbc
49,Vaccines may help travel rebound but some pandemic changes are here to stay,cnbc
50,Whole Foods CEO John Mackey: Why I regret not having kids,cnbc
51,"Iran's president accuses Israel of killing nuclear scientist, vows to respond 'at the proper time'",cnbc
52,"Oxford, WHO scientists say more data needed on AstraZeneca's Covid vaccine trials",cnbc
53,"Holiday gift-givers want their money to matter. Companies, large and small, are taking notice.",cnbc
54,A Black Friday unlike any other: What four retail analysts are watching this holiday season,cnbc
55,The UFO ETF is up 20% this month. How a Biden administration could impact the space trade,cnbc
56,"Energy is where investors send money ‘to die’ but there is one stock to like, trader says",cnbc
57,These are Wall Street's favorite 10 retail stocks into the holiday shopping season,cnbc
58,Nextdoor is on a rocky road towards a possible public offering,cnbc
59,"Amazon's $599 router system isn't cheap, but it helps fix your bad Wi-Fi",cnbc
60,"Trump to campaign for Georgia GOP Senate candidates, urges supporters not to boycott runoff elections",cnbc
61,Pilot shortage prompts rare flight cancellations at Delta over Thanksgiving break,cnbc
62,Stocks on track to close out month of big gains as jobs data looms,cnbc
63,"Stocks making the biggest moves midday: Amazon, Tesla, AstraZeneca, Carnival & more",cnbc
64,U.S. stocks edge higher as investors monitor vaccine news,cnbc
65,"Stock market live Friday: S&P & Nasdaq records, 2% gain for week, retail ETF touches record",cnbc
66,How Nissan is trying to bounce back from losses and turmoil,cnbc
67,Shopify president on retail trends: 71% of U.S. online sales made on mobile,cnbc
68,Holiday shoppers are spending more on pets in 2020,cnbc
69,Doctors say CDC should warn people the side effects from Covid vaccine won't be 'a walk in the park',cnbc
70,Biden's lead increases in Wisconsin's largest county after recount demanded by Trump campaign,cnbc
71,Congress stalled on stimulus talks and time is running out as millions face a 'benefits cliff',cnbc
72,Black Friday shopping in stores craters 52% during pandemic as e-commerce sales surge,cnbc
73,This teen's business is bringing in 6 figures—here's her advice for other small business owners,cnbc
74,Highest-ever Amex Gold Card welcome bonus is worth up to $600 in gift cards,cnbc
75,"The silent generation has an average of $12,869 in nonmortgage debt—here's how they compare",cnbc
76,Every day is Black Friday this year: Save more money while you shop with these 8 credit cards,cnbc
77,A personal loan can deliver quick cash to cover holiday costs—but a CFP suggests you do this first,cnbc
78,The best three-year CD when you want to lock in a good interest rate,cnbc
79,A financial therapist shares her psychological trick to save money this holiday season,cnbc
80,This is the average age when people finally pay off their student loans for good,cnbc
81,How much should you spend on holiday shopping? A financial planner weighs in,cnbc
82,Wall Street analysts are long-term bullish on these recovery plays like Micron and Ulta,cnbc
83,These are Wall Street's favorite 10 retail stocks into the holiday shopping season,cnbc
84,"Amazon will be big holiday season winner getting 42 cents of every $1 spent, Truist says",cnbc
85,"CFRA's Sam Stovall says the market rotation 'looks sustainable,' gives retail picks",cnbc
86,"These economic recovery plays still have more room to run, Barclays says",cnbc
87,"These stocks will be the big winners from likely record e-commerce holiday sales, Jefferies says",cnbc
88,Goldman Sachs bankers are using flying drones to help clinch billion-dollar M&A deals,cnbc
89,Here's why Peloton and Zoom could still have room to run in a post-pandemic world,cnbc
90,"Black Friday online shopping on track to hit record as holiday shoppers skip stores, Adobe says",cnbc
91,"Oxford, WHO scientists say more data needed on AstraZeneca's Covid vaccine trials",cnbc
92,Pilot shortage prompts rare flight cancellations at Delta over Thanksgiving break,cnbc
93,"Black Friday 2020 Live Update: Bargain hunters drove record online sales, hot gifts in short supply",cnbc
94,"Long lines for Covid testing not going away anytime soon, Summit CityMD CEO says",cnbc
95,"Black Friday 2020 looks bleak at stores, malls, as shoppers stick to couch surfing",cnbc
96,Coronavirus updates: AstraZeneca CEO touts a new vaccine trial in response to doubts raised in U.S.,cnbc
97,Black Friday shopping in stores craters 52% during pandemic as e-commerce sales surge,cnbc
98,Former Zappos CEO Tony Hsieh has died at 46,cnbc
99,Amazon's hiring spree of hundreds of thousands of workers gets its real test starting Black Friday,cnbc
100,Google's 'resiliency' training teaches employees how to deal with prolonged remote work,cnbc
101,"Amazon's $599 router system isn't cheap, but it helps fix your bad Wi-Fi",cnbc
102,Salesforce buying Slack would mark the first big software deal in a boom year for the cloud,cnbc
103,Amazon gives front-line workers a $300 holiday bonus,cnbc
104,"U.S. regulators open probe into 115,000 Tesla vehicles over suspension issue",cnbc
105,Google and Facebook to be scrutinized by new U.K. antitrust unit from next year,cnbc
106,Top Iranian nuclear scientist assassinated,cnbc
107,Trump loses appeal of Pennsylvania election case,cnbc
108,Trump rants about overturning the election even as administration begins transition to Biden,cnbc
109,Trump lawyer details far-fetched strategy to reverse Pennsylvania win for Biden,cnbc
110,DOJ appeals ruling that kept Trump as defendant in E. Jean Carroll rape claim case,cnbc
111,"Another Trump campaign advisor tests positive for coronavirus, as Giuliani heads to Gettysburg",cnbc
112,"Biden team meets with former U.S. media agency leaders, including some ousted by Trump appointee",cnbc
113,Op-ed: IRS tax-refund backlog adds to Americans' hardship during Covid-19 pandemic,cnbc
114,Vaccines may help travel rebound but some pandemic changes are here to stay,cnbc
115,Congress stalled on stimulus talks and time is running out as millions face a 'benefits cliff',cnbc
116,Working remotely from different states? You could face additional state taxes next year,cnbc
117,"Evictions have led to hundreds of thousands of additional coronavirus cases, research finds",cnbc
118,Here's a decade-by-decade guide to retirement planning,cnbc
119,Personal Finance 101: The complete guide to managing your money,cnbc
120,"Costco stores only accept Visa cards, and these 5 are the best for earning rewards",cnbc
121,We analyzed 111 rewards cards: Here's our No. 1 pick for best overall,cnbc
122,Psychological difference between spenders and savers (and what it says about your personality),cnbc
123,This teen's business is bringing in 6 figures—here's her advice for other small business owners,cnbc
124,"Meet Ivan Boesky, the 1980s Wall Street titan who inspired Hollywood — and ended up in jail",cnbc
125,"As large retailers bring in record profits, frontline workers barely see their pay increase",cnbc
126,VC who's backed companies like Peloton: My best advice for growing and scaling your side hustle,cnbc
127,"Meet Phara Souffrant Forrest, 31-year-old nurse who is now a member of the New York State Assembly",cnbc
128,Whole Foods CEO John Mackey: Why I regret not having kids,cnbc
129,Main Street pins hopes on Small Business Saturday sales to help stay afloat,cnbc
130,"How to turn your side hustle into a full-time, well-paid job, according to 3 people who've done it",cnbc
131,"Forget the turkey sandwich — try these creative, cost-effective Thanksgiving leftovers instead",cnbc
